cluster,purity,entropy,size
0,0.5714285714285714,0.9852281360342515,7
1,0.5,1.0,2
2,1.0,-0.0,1
3,0.9310344827586207,0.36205125173399794,29
4,1.0,-0.0,7
5,1.0,-0.0,3
6,1.0,-0.0,4
7,1.0,-0.0,7
8,0.6666666666666666,0.9182958340544894,3
9,1.0,-0.0,1
10,0.5,1.0,4
11,0.75,0.8112781244591327,16
12,0.5,1.0,2
13,1.0,-0.0,7
14,1.0,-0.0,1
15,0.75,0.8112781244591327,12
16,0.75,0.8112781244591327,12
17,0.8309859154929577,0.6554444445609847,71
18,0.7777777777777778,0.7642045065086203,18
19,0.6984126984126984,0.8832225588099291,63
