,,,,Purity,Entropy
gmm,mean,non-UMAP,5,0.5518518518518518,0.9542565701105479
gmm,mean,non-UMAP,15,0.7703703703703704,0.7251453609100494
gmm,mean,non-UMAP,30,0.825925925925926,0.5629503608400886
gmm,mean,UMAP,5,0.5444444444444444,0.9717172396122129
gmm,mean,UMAP,15,0.7407407407407407,0.7739363329285059
gmm,mean,UMAP,30,0.7703703703703704,0.723796103111069
gmm,-1,non-UMAP,5,0.5814814814814815,0.9342025786958497
gmm,-1,non-UMAP,15,0.6703703703703704,0.7910701600447388
gmm,-1,non-UMAP,30,0.7888888888888889,0.605516043077086
gmm,-1,UMAP,5,0.725925925925926,0.8416797022008977
gmm,-1,UMAP,15,0.7444444444444445,0.7945772871893049
gmm,-1,UMAP,30,0.7555555555555555,0.7492583420396555
kmeans,mean,non-UMAP,5,0.5851851851851851,0.9701821848375914
kmeans,mean,non-UMAP,15,0.774074074074074,0.7129390822336173
kmeans,mean,non-UMAP,30,0.8,0.6491422105572076
kmeans,mean,UMAP,5,0.6518518518518519,0.922842759027737
kmeans,mean,UMAP,15,0.7481481481481481,0.77710081635426
kmeans,mean,UMAP,30,0.7777777777777778,0.6997530625842706
kmeans,-1,non-UMAP,5,0.6333333333333333,0.9063123638867034
kmeans,-1,non-UMAP,15,0.674074074074074,0.8010226916011686
kmeans,-1,non-UMAP,30,0.7111111111111111,0.7418660040946017
kmeans,-1,UMAP,5,0.7037037037037037,0.8680596761037207
kmeans,-1,UMAP,15,0.737037037037037,0.7962742749640525
kmeans,-1,UMAP,30,0.7703703703703704,0.7382832754799609
